stat, rank, value, (percentage) 
minecraft.picked_up.stone_sword: #3, 73(10%)
minecraft.picked_up.dead_fire_coral_block: #2, 549(20%)
minecraft.picked_up.dead_bubble_coral_block: #2, 429(17%)
minecraft.dropped.dark_prismarine: #2, 80(13%)
minecraft.mined.chest: #4, 1869(10%)
minecraft.used.salmon: #2, 6(15%)
minecraft.crafted.polished_blackstone_button: #3, 488(14%)
minecraft.picked_up.disc_fragment_5: #2, 44(21%)
minecraft.crafted.fishing_rod: #3, 22(12%)
minecraft.picked_up.soul_torch: #3, 254(15%)
minecraft.mined.chorus_plant: #3, 82(16%)
minecraft.mined.waxed_cut_copper: #2, 39(15%)
minecraft.mined.lime_carpet: #2, 1564(21%)
minecraft.used.ochre_froglight: #3, 1239(13%)
minecraft.used.brown_glazed_terracotta: #2, 344(16%)
minecraft.mined.glass_pane: #3, 112(11%)
minecraft.crafted.white_shulker_box: #3, 34(11%)
minecraft.mined.yellow_terracotta: #3, 1596(10%)
minecraft.killed.hoglin: #3, 49(12%)
minecraft.used.acacia_stairs: #2, 52(16%)
minecraft.picked_up.totem_of_undying: #4, 235(11%)
minecraft.crafted.black_concrete: #2, 536(24%)
minecraft.killed.piglin_brute: #2, 87(18%)
minecraft.crafted.lime_stained_glass_pane: #3, 288(15%)
minecraft.picked_up.minecart: #3, 292(9%)
minecraft.mined.gray_bed: #2, 11(17%)
minecraft.mined.deepslate_brick_stairs: #3, 359(10%)
minecraft.mined.jungle_stairs: #2, 32(14%)
minecraft.used.redstone_lamp: #3, 376(10%)
minecraft.picked_up.sugar: #3, 1267(15%)
minecraft.crafted.iron_ingot: #4, 59674(10%)
minecraft.used.waxed_oxidized_copper: #3, 337(21%)
minecraft.picked_up.end_rod: #3, 365(8%)
minecraft.dropped.brown_terracotta: #3, 112(13%)
minecraft.dropped.stone_hoe: #3, 10(17%)
minecraft.crafted.sentry_armor_trim_smithing_template: #2, 4(33%)
minecraft.used.music_disc_5: #2, 5(15%)
